PLAYER,TEAM,Isolation,P&R Handler,P&R Roll,Transition,Post Up,Spot Up,HandOff,Cut,Season,Cluster
Luka Doncic,DAL,0.15,0.463,0.0,0.108,0.034,0.061,0.054,0.017,2020,4
Jayson Tatum,BOS,0.158,0.255,0.029,0.14,0.055,0.132,0.061,0.025,2020,4
Giannis Antetokounmpo,MIL,0.149,0.068,0.066,0.267,0.117,0.103,0.015,0.068,2020,5
Kawhi Leonard,LAC,0.147,0.328,0.012,0.137,0.106,0.111,0.037,0.01,2020,4
DeMar DeRozan,SAS,0.139,0.346,0.0,0.132,0.094,0.113,0.038,0.027,2020,4
Pascal Siakam,TOR,0.176,0.142,0.037,0.217,0.122,0.144,0.036,0.046,2020,1
Chris Paul,OKC,0.179,0.487,0.0,0.131,0.009,0.082,0.019,0.0,2020,4
Spencer Dinwiddie,BKN,0.148,0.482,0.0,0.139,0.0,0.111,0.027,0.017,2020,4
Devin Booker,PHX,0.114,0.273,0.008,0.19,0.05,0.084,0.082,0.047,2020,4
Shai Gilgeous-Alexander,OKC,0.142,0.376,0.0,0.173,0.0,0.187,0.044,0.02,2020,4
Brandon Ingram,NOP,0.134,0.233,0.01,0.185,0.033,0.209,0.056,0.025,2020,1
CJ McCollum,POR,0.133,0.363,0.0,0.145,0.0,0.139,0.058,0.019,2020,4
Zach Lavine,CHI,0.114,0.372,0.0,0.149,0.007,0.108,0.088,0.044,2020,4
Julius Randle,NYK,0.151,0.044,0.095,0.11,0.151,0.196,0.033,0.056,2020,5
Khris Middleton,MIL,0.129,0.256,0.009,0.179,0.083,0.137,0.051,0.025,2020,1
Trae Young,ATL,0.085,0.533,0.0,0.165,0.0,0.06,0.072,0.0,2020,4
Austin Rivers,HOU,0.228,0.133,0.0,0.181,0.0,0.314,0.045,0.0,2020,1
Bradley Beal,WAS,0.092,0.322,0.0,0.172,0.011,0.098,0.098,0.038,2020,4
Jrue Holiday,NOP,0.098,0.318,0.009,0.186,0.012,0.178,0.068,0.03,2020,4
Malcolm Brogdon,IND,0.152,0.433,0.0,0.114,0.0,0.101,0.07,0.015,2020,4
Caris Levert,BKN,0.182,0.394,0.0,0.133,0.0,0.126,0.037,0.042,2020,4
Dennis Schroder,OKC,0.1,0.384,0.0,0.144,0.0,0.203,0.069,0.02,2020,4
Collin Sexton,CLE,0.091,0.37,0.0,0.168,0.0,0.134,0.075,0.046,2020,4
De'Aron Fox,SAC,0.111,0.394,0.0,0.21,0.0,0.136,0.035,0.014,2020,4
Donovan Mitchell,UTA,0.077,0.48,0.007,0.126,0.0,0.145,0.062,0.011,2020,4
Anthony Davis,LAL,0.082,0.031,0.127,0.112,0.219,0.132,0.016,0.074,2020,3
Tobias Harris,PHI,0.102,0.174,0.012,0.145,0.114,0.196,0.072,0.052,2020,1
Eric Paschall,GSW,0.137,0.044,0.046,0.146,0.093,0.254,0.042,0.099,2020,5
Bojan Bogdanovic,UTA,0.095,0.138,0.023,0.162,0.045,0.217,0.086,0.022,2020,1
Jimmy Butler,MIA,0.097,0.355,0.021,0.122,0.068,0.069,0.055,0.082,2020,4
Carmelo Anthony,POR,0.126,0.051,0.083,0.085,0.298,0.216,0.0,0.024,2020,3
Montrezl Harrell,LAC,0.092,0.024,0.173,0.151,0.189,0.041,0.0,0.135,2020,3
Danilo Gallinari,OKC,0.097,0.111,0.079,0.087,0.14,0.305,0.042,0.025,2020,5
